#Angle Scan MOKE
#
#21.07.2002 , 17:19
#
#Notes
#
#Self Calib (Volt)	"VOLT:DC"
4.170854E-1	-1.302307E-2
4.070352E-1	-1.302449E-2
3.969849E-1	-1.302375E-2
3.869347E-1	-1.302415E-2
3.768844E-1	-1.302387E-2
3.668342E-1	-1.302427E-2
3.567839E-1	-1.302438E-2
3.467337E-1	-1.302370E-2
3.366834E-1	-1.302393E-2
3.266332E-1	-1.302381E-2
3.165829E-1	-1.302301E-2
3.065327E-1	-1.302296E-2
2.964824E-1	-1.302506E-2
2.864321E-1	-1.302575E-2
2.763819E-1	-1.302501E-2
2.663316E-1	-1.302495E-2
2.562814E-1	-1.302489E-2
2.462312E-1	-1.302540E-2
2.361809E-1	-1.302501E-2
2.261306E-1	-1.302461E-2
2.160804E-1	-1.302535E-2
2.060301E-1	-1.302484E-2
1.959799E-1	-1.302620E-2
1.859296E-1	-1.302518E-2
1.758794E-1	-1.302649E-2
1.658291E-1	-1.302586E-2
1.557789E-1	-1.302689E-2
1.457286E-1	-1.302609E-2
1.356784E-1	-1.302672E-2
1.256281E-1	-1.302626E-2
1.155779E-1	-1.302694E-2
1.055276E-1	-1.302620E-2
9.547738E-2	-1.302518E-2
8.542714E-2	-1.302689E-2
7.537688E-2	-1.302615E-2
6.532663E-2	-1.302740E-2
5.527638E-2	-1.302820E-2
4.522613E-2	-1.302694E-2
3.517588E-2	-1.302791E-2
2.512563E-2	-1.302814E-2
1.507538E-2	-1.302808E-2
5.025126E-3	-1.302825E-2
-5.025126E-3	-1.302837E-2
-1.507538E-2	-1.302899E-2
-2.512563E-2	-1.302854E-2
-3.517588E-2	-1.302734E-2
-4.522613E-2	-1.302814E-2
-5.527638E-2	-1.302928E-2
-6.532663E-2	-1.302933E-2
-7.537688E-2	-1.302905E-2
-8.542714E-2	-1.303047E-2
-9.547738E-2	-1.302985E-2
-1.055276E-1	-1.302865E-2
-1.155779E-1	-1.302950E-2
-1.256281E-1	-1.303030E-2
-1.356784E-1	-1.303144E-2
-1.457286E-1	-1.303110E-2
-1.557789E-1	-1.303104E-2
-1.658291E-1	-1.303377E-2
-1.758794E-1	-1.303884E-2
-1.859296E-1	-1.308861E-2
-1.959799E-1	-1.317020E-2
-2.060301E-1	-1.321262E-2
-2.160804E-1	-1.321478E-2
-2.261306E-1	-1.321672E-2
-2.361809E-1	-1.321586E-2
-2.462312E-1	-1.321632E-2
-2.562814E-1	-1.321689E-2
-2.663316E-1	-1.321615E-2
-2.763819E-1	-1.321723E-2
-2.864321E-1	-1.321597E-2
-2.964824E-1	-1.321637E-2
-3.065327E-1	-1.321717E-2
-3.165829E-1	-1.321734E-2
-3.266332E-1	-1.321592E-2
-3.366834E-1	-1.321523E-2
-3.467337E-1	-1.321757E-2
-3.567839E-1	-1.321700E-2
-3.668342E-1	-1.321689E-2
-3.768844E-1	-1.321615E-2
-3.869347E-1	-1.321700E-2
-3.969849E-1	-1.321768E-2
-4.070352E-1	-1.321808E-2
-4.170854E-1	-1.321711E-2
-4.271357E-1	-1.321859E-2
-4.371859E-1	-1.321814E-2
-4.472362E-1	-1.321763E-2
-4.572864E-1	-1.321882E-2
-4.673367E-1	-1.321780E-2
-4.773869E-1	-1.321740E-2
-4.874372E-1	-1.321842E-2
-4.974874E-1	-1.321928E-2
-5.075377E-1	-1.321911E-2
-5.175879E-1	-1.321882E-2
-5.276381E-1	-1.321962E-2
-5.376884E-1	-1.321916E-2
-5.477387E-1	-1.321979E-2
-5.577889E-1	-1.321785E-2
-5.678391E-1	-1.321916E-2
-5.778894E-1	-1.321962E-2
-5.879397E-1	-1.321876E-2
-5.979899E-1	-1.321899E-2
-6.080402E-1	-1.322058E-2
-6.180905E-1	-1.321928E-2
-6.281407E-1	-1.321910E-2
-6.381909E-1	-1.321950E-2
-6.482412E-1	-1.321973E-2
-6.582914E-1	-1.321871E-2
-6.683417E-1	-1.322002E-2
-6.783919E-1	-1.322007E-2
-6.884422E-1	-1.322041E-2
-6.984924E-1	-1.322019E-2
-7.085427E-1	-1.321984E-2
-7.185929E-1	-1.322013E-2
-7.286432E-1	-1.322041E-2
-7.386934E-1	-1.321973E-2
-7.487437E-1	-1.322013E-2
-7.587940E-1	-1.322001E-2
-7.688442E-1	-1.321973E-2
-7.788944E-1	-1.321962E-2
-7.889447E-1	-1.322104E-2
-7.989950E-1	-1.321956E-2
-8.090452E-1	-1.322064E-2
-8.190954E-1	-1.322115E-2
-8.291457E-1	-1.322087E-2
-8.391960E-1	-1.321967E-2
-8.492462E-1	-1.322184E-2
-8.592964E-1	-1.322070E-2
-8.693467E-1	-1.322041E-2
-8.793970E-1	-1.322081E-2
-8.894472E-1	-1.322001E-2
-8.994974E-1	-1.322110E-2
-9.095477E-1	-1.322070E-2
-9.195980E-1	-1.322098E-2
-9.296482E-1	-1.322058E-2
-9.396985E-1	-1.322075E-2
-9.497487E-1	-1.322075E-2
-9.597990E-1	-1.322013E-2
-9.698492E-1	-1.322110E-2
-9.798995E-1	-1.322036E-2
-9.899497E-1	-1.322337E-2
-1.000000E+0	-1.322127E-2
